0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 16
0: # Processes per socket: 16
0: # Processes per node: 64
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 536870912: 5.602387e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 8
0: Size 1: 3.049339e-06
0: Size 2: 3.052058e-06
0: Size 4: 3.045060e-06
0: Size 8: 3.044224e-06
0: Size 16: 2.933329e-06
0: Size 32: 3.234769e-06
0: Size 64: 3.433511e-06
0: Size 128: 3.633914e-06
0: Size 256: 4.880464e-06
0: Size 512: 5.439304e-06
0: Size 1024: 5.194130e-06
0: Size 2048: 5.308092e-06
0: Size 4096: 5.193830e-06
0: Size 8192: 5.746492e-06
0: Size 16384: 7.044355e-06
0: Size 32768: 7.821493e-06
0: Size 65536: 9.127723e-06
0: Size 131072: 1.198305e-05
0: Size 262144: 1.843598e-05
0: Size 524288: 3.159782e-05
0: Size 1048576: 6.184460e-05
0: Size 2097152: 1.247672e-04
0: Size 4194304: 3.586740e-04
0: Size 8388608: 1.351111e-03
0: Size 16777216: 2.134504e-03
0: Size 33554432: 4.838671e-03
0: Size 67108864: 8.729756e-03
0: Size 134217728: 1.755368e-02
0: Size 268435456: 3.807255e-02
0: Size 536870912: 1.066556e-01
0: 
0: Active Procs: 4
0: Rank 0 sending to 8
0: Size 1: 3.072159e-06
0: Size 2: 3.095899e-06
0: Size 4: 3.091342e-06
0: Size 8: 3.084438e-06
0: Size 16: 3.042016e-06
0: Size 32: 3.222936e-06
0: Size 64: 3.443995e-06
0: Size 128: 3.552394e-06
0: Size 256: 4.871444e-06
0: Size 512: 5.529420e-06
0: Size 1024: 5.116131e-06
0: Size 2048: 5.217592e-06
0: Size 4096: 5.199498e-06
0: Size 8192: 5.751973e-06
0: Size 16384: 7.025770e-06
0: Size 32768: 7.858709e-06
0: Size 65536: 9.181569e-06
0: Size 131072: 1.183537e-05
0: Size 262144: 1.762676e-05
0: Size 524288: 3.203493e-05
0: Size 1048576: 6.243324e-05
0: Size 2097152: 1.205597e-04
0: Size 4194304: 5.259400e-04
0: Size 8388608: 1.927102e-03
0: Size 16777216: 3.415957e-03
0: Size 33554432: 7.352284e-03
0: Size 67108864: 1.565967e-02
0: Size 134217728: 3.443831e-02
0: Size 268435456: 6.669070e-02
0: Size 536870912: 1.781706e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 8
0: Size 1: 2.814663e-06
0: Size 2: 2.816398e-06
0: Size 4: 2.817534e-06
0: Size 8: 2.816170e-06
0: Size 16: 2.803631e-06
0: Size 32: 2.942978e-06
0: Size 64: 3.177961e-06
0: Size 128: 3.281885e-06
0: Size 256: 4.374851e-06
0: Size 512: 5.204864e-06
0: Size 1024: 4.994299e-06
0: Size 2048: 5.100442e-06
0: Size 4096: 5.077179e-06
0: Size 8192: 5.821387e-06
0: Size 16384: 6.764213e-06
0: Size 32768: 7.523200e-06
0: Size 65536: 8.859685e-06
0: Size 131072: 1.205460e-05
0: Size 262144: 1.729790e-05
0: Size 524288: 3.225165e-05
0: Size 1048576: 1.069356e-04
0: Size 2097152: 2.197277e-04
0: Size 4194304: 1.164648e-03
0: Size 8388608: 3.528433e-03
0: Size 16777216: 6.447614e-03
