0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 16384: 4.159143e-06
0: Size 32768: 4.564931e-06
0: Size 65536: 5.695678e-06
0: Size 131072: 8.096800e-06
0: Size 262144: 1.256079e-05
0: Size 524288: 2.508496e-05
0: Size 1048576: 5.886143e-05
0: Size 2097152: 1.153610e-04
0: Size 4194304: 6.012546e-04
0: Size 8388608: 1.663994e-03
0: Size 16777216: 2.703955e-03
0: Size 33554432: 4.980750e-03
0: Size 67108864: 9.611314e-03
0: Size 134217728: 1.916924e-02
0: Size 268435456: 4.102171e-02
0: Size 536870912: 8.346577e-02
0: 
0: Not measuring multi-proc intra-socket because same as intra-NUMA
0: On-Node, Off-Socket MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 36
0: Size 1: 3.880114e-06
0: Size 2: 3.884602e-06
0: Size 4: 3.859383e-06
0: Size 8: 3.826751e-06
0: Size 16: 3.623460e-06
0: Size 32: 3.996026e-06
0: Size 64: 4.079194e-06
0: Size 128: 4.212276e-06
0: Size 256: 6.224113e-06
0: Size 512: 6.463847e-06
0: Size 1024: 6.103025e-06
0: Size 2048: 6.116877e-06
0: Size 4096: 5.957655e-06
0: Size 8192: 5.522542e-06
0: Size 16384: 5.846166e-06
0: Size 32768: 6.575118e-06
0: Size 65536: 7.734657e-06
0: Size 131072: 1.029247e-05
0: Size 262144: 1.483181e-05
0: Size 524288: 2.913215e-05
0: Size 1048576: 6.177020e-05
0: Size 2097152: 1.161803e-04
0: Size 4194304: 2.249694e-04
0: Size 8388608: 4.451512e-04
0: Size 16777216: 8.485769e-04
0: Size 33554432: 4.219489e-03
0: Size 67108864: 8.258866e-03
