0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 8192: 3.191522e-06
0: Size 16384: 4.314232e-06
0: Size 32768: 4.200465e-06
0: Size 65536: 5.300731e-06
0: Size 131072: 7.577905e-06
0: Size 262144: 1.229027e-05
0: Size 524288: 2.582859e-05
0: Size 1048576: 5.911520e-05
0: Size 2097152: 1.156787e-04
0: Size 4194304: 6.012543e-04
0: Size 8388608: 1.718221e-03
0: Size 16777216: 2.696729e-03
0: Size 33554432: 4.994543e-03
0: Size 67108864: 9.716939e-03
0: Size 134217728: 1.917602e-02
0: Size 268435456: 4.403680e-02
0: Size 536870912: 9.125774e-02
0: 
0: Not measuring multi-proc intra-socket because same as intra-NUMA
0: On-Node, Off-Socket MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 36
0: Size 1: 3.727955e-06
0: Size 2: 3.714910e-06
0: Size 4: 3.709591e-06
0: Size 8: 3.694409e-06
0: Size 16: 3.527360e-06
0: Size 32: 3.937575e-06
0: Size 64: 4.072347e-06
0: Size 128: 4.108008e-06
0: Size 256: 5.745241e-06
0: Size 512: 6.212551e-06
0: Size 1024: 6.086593e-06
0: Size 2048: 6.018041e-06
0: Size 4096: 6.065415e-06
0: Size 8192: 5.967827e-06
0: Size 16384: 6.642802e-06
0: Size 32768: 6.690264e-06
0: Size 65536: 7.891572e-06
0: Size 131072: 1.016250e-05
0: Size 262144: 1.472249e-05
0: Size 524288: 2.805096e-05
0: Size 1048576: 6.201729e-05
0: Size 2097152: 1.160381e-04
0: Size 4194304: 2.240792e-04
0: Size 8388608: 4.442219e-04
0: Size 16777216: 8.518702e-04
0: Size 33554432: 4.382393e-03
0: Size 67108864: 8.244577e-03
0: Size 134217728: 1.608190e-02
0: Size 268435456: 3.170702e-02
0: Size 536870912: 6.382510e-02
0: 
0: Active Procs: 2
0: Rank 0 sending to 36
0: Size 1: 4.055920e-06
0: Size 2: 4.061823e-06
0: Size 4: 4.061609e-06
0: Size 8: 4.049677e-06
0: Size 16: 4.051338e-06
0: Size 32: 4.237465e-06
0: Size 64: 4.374165e-06
0: Size 128: 4.414084e-06
0: Size 256: 5.924524e-06
0: Size 512: 6.815132e-06
0: Size 1024: 6.898449e-06
0: Size 2048: 6.929204e-06
0: Size 4096: 6.821269e-06
0: Size 8192: 6.792367e-06
0: Size 16384: 8.460973e-06
0: Size 32768: 7.585985e-06
0: Size 65536: 8.762759e-06
0: Size 131072: 1.101038e-05
0: Size 262144: 1.528650e-05
0: Size 524288: 2.813474e-05
0: Size 1048576: 6.137714e-05
0: Size 2097152: 1.161309e-04
0: Size 4194304: 2.256714e-04
0: Size 8388608: 7.204666e-04
0: Size 16777216: 2.605061e-03
0: Size 33554432: 5.221995e-03
0: Size 67108864: 1.121210e-02
0: Size 134217728: 2.299835e-02
0: Size 268435456: 5.250368e-02
0: Size 536870912: 1.046161e-01
0: 
0: Active Procs: 4
0: Rank 0 sending to 36
0: Size 1: 3.982462e-06
0: Size 2: 3.829525e-06
0: Size 4: 3.815448e-06
0: Size 8: 3.806967e-06
0: Size 16: 3.585269e-06
0: Size 32: 4.050118e-06
0: Size 64: 4.194097e-06
0: Size 128: 4.190408e-06
0: Size 256: 6.097726e-06
0: Size 512: 6.555140e-06
0: Size 1024: 6.389883e-06
0: Size 2048: 6.465534e-06
0: Size 4096: 6.581496e-06
0: Size 8192: 6.632985e-06
0: Size 16384: 8.479631e-06
0: Size 32768: 6.437861e-06
0: Size 65536: 7.630929e-06
0: Size 131072: 9.861196e-06
0: Size 262144: 1.459823e-05
0: Size 524288: 2.881540e-05
0: Size 1048576: 6.186971e-05
0: Size 2097152: 1.167609e-04
0: Size 4194304: 3.860052e-04
0: Size 8388608: 1.909847e-03
0: Size 16777216: 4.753657e-03
0: Size 33554432: 1.042148e-02
0: Size 67108864: 2.187320e-02
0: Size 134217728: 4.303310e-02
0: Size 268435456: 1.001645e-01
0: Size 536870912: 1.996073e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 36
0: Size 1: 4.037006e-06
0: Size 2: 4.092360e-06
0: Size 4: 4.087641e-06
0: Size 8: 4.090610e-06
0: Size 16: 4.098706e-06
0: Size 32: 4.294527e-06
0: Size 64: 4.503728e-06
0: Size 128: 4.484550e-06
0: Size 256: 5.859100e-06
0: Size 512: 6.470317e-06
0: Size 1024: 6.447989e-06
0: Size 2048: 6.385274e-06
0: Size 4096: 6.332829e-06
0: Size 8192: 6.367409e-06
0: Size 16384: 8.279186e-06
0: Size 32768: 8.980234e-06
0: Size 65536: 1.011002e-05
0: Size 131072: 1.222336e-05
0: Size 262144: 1.659594e-05
0: Size 524288: 2.956816e-05
0: Size 1048576: 6.230298e-05
0: Size 2097152: 1.176453e-04
0: Size 4194304: 3.906013e-04
0: Size 8388608: 1.976869e-03
0: Size 16777216: 5.664345e-03
0: Size 33554432: 1.227077e-02
0: Size 67108864: 2.693885e-02
0: Size 134217728: 5.382158e-02
0: Size 268435456: 1.668293e-01
0: Size 536870912: 3.334572e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 36
0: Size 1: 3.787730e-06
0: Size 2: 3.785619e-06
0: Size 4: 3.783288e-06
0: Size 8: 3.784091e-06
0: Size 16: 3.782244e-06
0: Size 32: 4.043820e-06
0: Size 64: 4.470514e-06
0: Size 128: 4.691946e-06
0: Size 256: 5.773655e-06
0: Size 512: 6.674825e-06
0: Size 1024: 6.349079e-06
0: Size 2048: 6.312103e-06
0: Size 4096: 6.259776e-06
0: Size 8192: 6.341846e-06
0: Size 16384: 8.493222e-06
0: Size 32768: 8.493058e-06
0: Size 65536: 9.564053e-06
0: Size 131072: 1.176822e-05
0: Size 262144: 1.639615e-05
0: Size 524288: 2.911769e-05
0: Size 1048576: 6.229412e-05
0: Size 2097152: 1.209596e-04
