0: CPU Microbenchmarks:
0: Inter-CPU Microbenchmarks will be run with the following:
0: # Processes per NUMA: 18
0: # Processes per socket: 18
0: # Processes per node: 72
0: # of nodes: 2
0: If these are incorrect, edit the defines at the top of benchmarks/microbenchmarks.cpp
0: intra-socket tests will not be run because there is only one NUMA per socket.  The timings will be gathered in inter-NUMA tests.
0: 
0: 
0: Running standard ping-pongs
0: 
0: On-NUMA Ping-Pong:
0: Size 2: 4.228519e-06
0: Size 4: 4.209255e-06
0: Size 8: 4.216279e-06
0: Size 16: 4.234367e-06
0: Size 32: 4.342781e-06
0: Size 64: 4.494702e-06
0: Size 128: 4.530575e-06
0: Size 256: 6.214060e-06
0: Size 512: 6.991485e-06
0: Size 1024: 6.917662e-06
0: Size 2048: 6.868753e-06
0: Size 4096: 6.677555e-06
0: Size 8192: 6.613346e-06
0: Size 16384: 7.775451e-06
0: Size 32768: 8.025734e-06
0: Size 65536: 8.724696e-06
0: Size 131072: 1.118514e-05
0: Size 262144: 1.568183e-05
0: Size 524288: 2.923364e-05
0: Size 1048576: 6.205713e-05
0: Size 2097152: 1.166134e-04
0: Size 4194304: 3.970281e-04
0: Size 8388608: 1.904687e-03
0: Size 16777216: 4.804674e-03
0: Size 33554432: 1.081685e-02
0: Size 67108864: 2.165959e-02
0: Size 134217728: 4.434392e-02
0: Size 268435456: 9.970578e-02
0: Size 536870912: 1.996731e-01
0: 
0: Active Procs: 8
0: Rank 0 sending to 36
0: Size 1: 4.200612e-06
0: Size 2: 4.255555e-06
0: Size 4: 4.258051e-06
0: Size 8: 4.269975e-06
0: Size 16: 4.286343e-06
0: Size 32: 4.385839e-06
0: Size 64: 4.499581e-06
0: Size 128: 4.675801e-06
0: Size 256: 6.485660e-06
0: Size 512: 6.751835e-06
0: Size 1024: 7.223017e-06
0: Size 2048: 7.193537e-06
0: Size 4096: 6.704274e-06
0: Size 8192: 6.836941e-06
0: Size 16384: 8.649850e-06
0: Size 32768: 9.454835e-06
0: Size 65536: 1.034381e-05
0: Size 131072: 1.250586e-05
0: Size 262144: 1.689637e-05
0: Size 524288: 2.975192e-05
0: Size 1048576: 6.234313e-05
0: Size 2097152: 1.174048e-04
0: Size 4194304: 3.928573e-04
0: Size 8388608: 1.959313e-03
0: Size 16777216: 5.365277e-03
0: Size 33554432: 1.215146e-02
0: Size 67108864: 2.525097e-02
0: Size 134217728: 5.474538e-02
0: Size 268435456: 1.659533e-01
0: Size 536870912: 3.316994e-01
0: 
0: Active Procs: 16
0: Rank 0 sending to 36
0: Size 1: 4.003260e-06
0: Size 2: 3.981667e-06
0: Size 4: 3.941912e-06
0: Size 8: 3.986726e-06
0: Size 16: 3.958681e-06
0: Size 32: 4.142167e-06
0: Size 64: 4.328045e-06
0: Size 128: 4.488426e-06
0: Size 256: 5.648079e-06
0: Size 512: 6.778189e-06
0: Size 1024: 6.684825e-06
0: Size 2048: 6.709077e-06
0: Size 4096: 6.672106e-06
0: Size 8192: 6.718666e-06
0: Size 16384: 8.072584e-06
0: Size 32768: 8.682960e-06
0: Size 65536: 9.768112e-06
0: Size 131072: 1.195046e-05
0: Size 262144: 1.669435e-05
0: Size 524288: 2.958014e-05
0: Size 1048576: 6.252790e-05
0: Size 2097152: 1.210323e-04
0: Size 4194304: 1.106355e-03
0: Size 8388608: 4.713961e-03
0: Size 16777216: 1.000457e-02
0: Size 33554432: 2.311697e-02
0: Size 67108864: 4.822117e-02
0: Size 134217728: 1.120222e-01
0: Size 268435456: 3.246745e-01
0: Size 536870912: 6.471745e-01
0: 
0: Active Procs: 32
0: Rank 0 sending to 36
0: Size 1: 3.924392e-06
0: Size 2: 3.969715e-06
0: Size 4: 3.931425e-06
0: Size 8: 3.943966e-06
0: Size 16: 3.905573e-06
0: Size 32: 4.085632e-06
0: Size 64: 4.319383e-06
0: Size 128: 4.467481e-06
0: Size 256: 5.860643e-06
0: Size 512: 6.615589e-06
0: Size 1024: 6.416772e-06
0: Size 2048: 6.560410e-06
0: Size 4096: 6.477559e-06
0: Size 8192: 6.414947e-06
0: Size 16384: 7.757760e-06
0: Size 32768: 8.469581e-06
0: Size 65536: 9.477064e-06
0: Size 131072: 1.163750e-05
0: Size 262144: 1.616173e-05
0: Size 524288: 2.914618e-05
0: Size 1048576: 6.263238e-05
0: Size 2097152: 1.220934e-04
0: Size 4194304: 1.225756e-03
0: Size 8388608: 5.814825e-03
0: Size 16777216: 1.161990e-02
0: Size 33554432: 2.560042e-02
0: Size 67108864: 5.410826e-02
0: Size 134217728: 1.196870e-01
0: Size 268435456: 3.470502e-01
0: Size 536870912: 6.946026e-01
0: 
0: Active Procs: 36
0: Rank 0 sending to 36
0: Size 1: 3.670254e-06
0: Size 2: 3.692951e-06
0: Size 4: 3.717525e-06
0: Size 8: 3.768035e-06
0: Size 16: 3.761571e-06
0: Size 32: 3.850260e-06
0: Size 64: 4.083998e-06
0: Size 128: 4.400244e-06
0: Size 256: 5.826771e-06
0: Size 512: 6.757962e-06
0: Size 1024: 6.527786e-06
0: Size 2048: 6.605601e-06
0: Size 4096: 6.487355e-06
0: Size 8192: 6.500027e-06
0: Size 16384: 8.027228e-06
0: Size 32768: 8.851039e-06
0: Size 65536: 9.964167e-06
0: Size 131072: 1.207203e-05
0: Size 262144: 1.624758e-05
0: Size 524288: 2.948026e-05
0: Size 1048576: 6.267686e-05
0: Size 2097152: 1.220642e-04
0: Size 4194304: 1.245376e-03
0: Size 8388608: 5.845379e-03
0: Size 16777216: 1.196999e-02
0: Size 33554432: 2.648886e-02
0: Size 67108864: 5.681202e-02
0: Size 134217728: 1.164132e-01
0: Size 268435456: 3.484834e-01
0: Size 536870912: 6.982150e-01
0: 
0: Off-Node MultiProc Ping-Pong:
0: Active Procs: 1
0: Rank 0 sending to 72
0: Size 1: 4.373722e-06
0: Size 2: 4.363847e-06
0: Size 4: 4.365271e-06
0: Size 8: 4.366835e-06
0: Size 16: 4.372579e-06
0: Size 32: 4.369835e-06
0: Size 64: 4.369641e-06
0: Size 128: 5.476099e-06
0: Size 256: 5.744066e-06
0: Size 512: 5.799343e-06
0: Size 1024: 5.894363e-06
0: Size 2048: 6.090459e-06
